setting_id,run_id,seed,dataset,architecture,n_models,width,domain_shift,matching,candidate_rank,candidate_model_index,candidate_order,candidate_method,candidate_source,soup_indices_before,soup_indices_after,validation_accuracy_before,validation_loss_before,candidate_soup_validation_accuracy,candidate_soup_validation_loss,validation_accuracy_margin_after_minus_before,validation_loss_margin_before_minus_after,accepted,decision_reason,decision_metric,decision_metric_source,candidate_soup_validation_metric_logged,algorithm_implied_decision,test_used_for_selection,is_final_selection,final_selection_indices,final_selection_candidate_rank,final_test_accuracy,final_test_loss,test_metric_role,checkpoint_source,run_source
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3000,3000,fashion_mnist,mlp2,3,128,input_noise,activation,1,0,"[0,1,2]",local_model,validation_ranked_local_model,[],[0],,,0.8695,0.3857899208068848,,,True,accepted_initial_best_validation_model,validation_accuracy,direct_local_validation_metric,True,False,False,True,[0],1,0.8278,0.49133039364814757,evaluation_only_final_selection,<repository-root>/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation/seed3000_model0.pt,checkpointed_fixed_setting_verification
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3000,3000,fashion_mnist,mlp2,3,128,input_noise,activation,2,1,"[0,1,2]",local_model,validation_ranked_local_model,[0],[0],0.8695,0.3857899208068848,0.5175,1.2576632614135743,-0.3520000000000001,-0.8718733406066895,False,rejected_validation_accuracy_decrease,validation_accuracy,direct_candidate_soup_validation_metric,True,False,False,False,[0],1,,,not_evaluated_for_candidate_decision,<repository-root>/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation/seed3000_model1.pt,checkpointed_fixed_setting_verification
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3000,3000,fashion_mnist,mlp2,3,128,input_noise,activation,3,2,"[0,1,2]",local_model,validation_ranked_local_model,[0],[0],0.8695,0.3857899208068848,0.5605,1.200673828125,-0.30900000000000005,-0.8148839073181152,False,rejected_validation_accuracy_decrease,validation_accuracy,direct_candidate_soup_validation_metric,True,False,False,False,[0],1,,,not_evaluated_for_candidate_decision,<repository-root>/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation/seed3000_model2.pt,checkpointed_fixed_setting_verification
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3001,3001,fashion_mnist,mlp2,3,128,input_noise,activation,1,0,"[0,1,2]",local_model,validation_ranked_local_model,[],[0],,,0.866,0.3958806228637695,,,True,accepted_initial_best_validation_model,validation_accuracy,direct_local_validation_metric,True,False,False,True,[0],1,0.827,0.4958956871986389,evaluation_only_final_selection,<repository-root>/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation/seed3001_model0.pt,checkpointed_fixed_setting_verification
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3001,3001,fashion_mnist,mlp2,3,128,input_noise,activation,2,1,"[0,1,2]",local_model,validation_ranked_local_model,[0],[0],0.866,0.3958806228637695,0.542,1.3179302978515626,-0.32399999999999995,-0.9220496749877931,False,rejected_validation_accuracy_decrease,validation_accuracy,direct_candidate_soup_validation_metric,True,False,False,False,[0],1,,,not_evaluated_for_candidate_decision,<repository-root>/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation/seed3001_model1.pt,checkpointed_fixed_setting_verification
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3001,3001,fashion_mnist,mlp2,3,128,input_noise,activation,3,2,"[0,1,2]",local_model,validation_ranked_local_model,[0],[0],0.866,0.3958806228637695,0.4635,1.2327004127502441,-0.40249999999999997,-0.8368197898864747,False,rejected_validation_accuracy_decrease,validation_accuracy,direct_candidate_soup_validation_metric,True,False,False,False,[0],1,,,not_evaluated_for_candidate_decision,<repository-root>/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation/seed3001_model2.pt,checkpointed_fixed_setting_verification
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3002,3002,fashion_mnist,mlp2,3,128,input_noise,activation,1,0,"[0,1,2]",local_model,validation_ranked_local_model,[],[0],,,0.8705,0.3882268314361572,,,True,accepted_initial_best_validation_model,validation_accuracy,direct_local_validation_metric,True,False,False,True,[0],1,0.8278,0.4899493537902832,evaluation_only_final_selection,<repository-root>/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation/seed3002_model0.pt,checkpointed_fixed_setting_verification
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3002,3002,fashion_mnist,mlp2,3,128,input_noise,activation,2,1,"[0,1,2]",local_model,validation_ranked_local_model,[0],[0],0.8705,0.3882268314361572,0.694,1.1715545959472655,-0.1765000000000001,-0.7833277645111083,False,rejected_validation_accuracy_decrease,validation_accuracy,direct_candidate_soup_validation_metric,True,False,False,False,[0],1,,,not_evaluated_for_candidate_decision,<repository-root>/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation/seed3002_model1.pt,checkpointed_fixed_setting_verification
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3002,3002,fashion_mnist,mlp2,3,128,input_noise,activation,3,2,"[0,1,2]",local_model,validation_ranked_local_model,[0],[0],0.8705,0.3882268314361572,0.4225,1.4680319213867188,-0.44800000000000006,-1.0798050899505616,False,rejected_validation_accuracy_decrease,validation_accuracy,direct_candidate_soup_validation_metric,True,False,False,False,[0],1,,,not_evaluated_for_candidate_decision,<repository-root>/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation/seed3002_model2.pt,checkpointed_fixed_setting_verification
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3003,3003,fashion_mnist,mlp2,3,128,input_noise,activation,1,0,"[0,1,2]",local_model,validation_ranked_local_model,[],[0],,,0.8715,0.3848051996231079,,,True,accepted_initial_best_validation_model,validation_accuracy,direct_local_validation_metric,True,False,False,True,[0],1,0.8294,0.48773485107421877,evaluation_only_final_selection,<repository-root>/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation/seed3003_model0.pt,checkpointed_fixed_setting_verification
