stage,group_seed,family,scramble,method,error_type,message
pilot,0,ill_conditioned,0,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,0,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,0,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,1,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,1,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,1,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,2,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,2,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,2,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,3,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,3,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,3,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,6,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,6,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,6,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,7,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,7,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,7,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,10,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,10,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,10,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,11,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,11,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,11,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,13,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,13,global_synchronization,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,13,cycle_aware_alignment,LinAlgError,LoRA B factor is rank deficient
pilot,0,ill_conditioned,15,pairwise_reference_alignment,LinAlgError,LoRA B factor is rank deficient
