setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,model_index,local_seed,val_loss,val_accuracy,test_loss,test_accuracy,checkpoint_saved,checkpoint_path,checkpoint_metadata_json
mnist_mlp_N3_W64_none_monomial_weight,mnist_mlp_N3_W64_none_monomial_weight_seed4200,mnist,mlp,3,64,none,monomial_weight,4200,0,6871,0.24915393352508544,0.9265,0.32659938335418703,0.9085,False,,"{""architecture"":""mlp"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4200,""gamma"":0.5,""local_seed"":6871,""matching"":""monomial_weight"",""max_test_samples"":2000,""max_train_samples"":10000,""model_index"":0,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":64}"
mnist_mlp_N3_W64_none_monomial_weight,mnist_mlp_N3_W64_none_monomial_weight_seed4200,mnist,mlp,3,64,none,monomial_weight,4200,1,7880,0.252960262298584,0.9245,0.3333525810241699,0.9025,False,,"{""architecture"":""mlp"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4200,""gamma"":0.5,""local_seed"":7880,""matching"":""monomial_weight"",""max_test_samples"":2000,""max_train_samples"":10000,""model_index"":1,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":64}"
mnist_mlp_N3_W64_none_monomial_weight,mnist_mlp_N3_W64_none_monomial_weight_seed4200,mnist,mlp,3,64,none,monomial_weight,4200,2,8889,0.2598660726547241,0.9225,0.33522873973846434,0.902,False,,"{""architecture"":""mlp"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4200,""gamma"":0.5,""local_seed"":8889,""matching"":""monomial_weight"",""max_test_samples"":2000,""max_train_samples"":10000,""model_index"":2,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":64}"
mnist_mlp_N3_W64_none_monomial_weight,mnist_mlp_N3_W64_none_monomial_weight_seed4201,mnist,mlp,3,64,none,monomial_weight,4201,0,6872,0.25211626529693604,0.922,0.32986609745025636,0.9005,False,,"{""architecture"":""mlp"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4201,""gamma"":0.5,""local_seed"":6872,""matching"":""monomial_weight"",""max_test_samples"":2000,""max_train_samples"":10000,""model_index"":0,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":64}"
mnist_mlp_N3_W64_none_monomial_weight,mnist_mlp_N3_W64_none_monomial_weight_seed4201,mnist,mlp,3,64,none,monomial_weight,4201,1,7881,0.25092620944976807,0.9235,0.32995195865631105,0.904,False,,"{""architecture"":""mlp"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4201,""gamma"":0.5,""local_seed"":7881,""matching"":""monomial_weight"",""max_test_samples"":2000,""max_train_samples"":10000,""model_index"":1,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":64}"
mnist_mlp_N3_W64_none_monomial_weight,mnist_mlp_N3_W64_none_monomial_weight_seed4201,mnist,mlp,3,64,none,monomial_weight,4201,2,8890,0.24623314762115478,0.927,0.3259668607711792,0.905,False,,"{""architecture"":""mlp"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4201,""gamma"":0.5,""local_seed"":8890,""matching"":""monomial_weight"",""max_test_samples"":2000,""max_train_samples"":10000,""model_index"":2,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":64}"
mnist_mlp_N3_W64_none_monomial_weight,mnist_mlp_N3_W64_none_monomial_weight_seed4202,mnist,mlp,3,64,none,monomial_weight,4202,0,6873,0.2552577342987061,0.9205,0.32994367599487306,0.9015,False,,"{""architecture"":""mlp"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4202,""gamma"":0.5,""local_seed"":6873,""matching"":""monomial_weight"",""max_test_samples"":2000,""max_train_samples"":10000,""model_index"":0,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":64}"
mnist_mlp_N3_W64_none_monomial_weight,mnist_mlp_N3_W64_none_monomial_weight_seed4202,mnist,mlp,3,64,none,monomial_weight,4202,1,7882,0.24330219745635986,0.926,0.3207232532501221,0.9065,False,,"{""architecture"":""mlp"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4202,""gamma"":0.5,""local_seed"":7882,""matching"":""monomial_weight"",""max_test_samples"":2000,""max_train_samples"":10000,""model_index"":1,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":64}"
mnist_mlp_N3_W64_none_monomial_weight,mnist_mlp_N3_W64_none_monomial_weight_seed4202,mnist,mlp,3,64,none,monomial_weight,4202,2,8891,0.2594578971862793,0.92,0.33174853992462155,0.9035,False,,"{""architecture"":""mlp"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4202,""gamma"":0.5,""local_seed"":8891,""matching"":""monomial_weight"",""max_test_samples"":2000,""max_train_samples"":10000,""model_index"":2,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":64}"
mnist_mlp_N3_W64_none_monomial_weight,mnist_mlp_N3_W64_none_monomial_weight_seed4203,mnist,mlp,3,64,none,monomial_weight,4203,0,6874,0.2528855724334717,0.92,0.3286529960632324,0.9045,False,,"{""architecture"":""mlp"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4203,""gamma"":0.5,""local_seed"":6874,""matching"":""monomial_weight"",""max_test_samples"":2000,""max_train_samples"":10000,""model_index"":0,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":64}"
