source_commit,source_branch,artifact_kind,path,sha256,reuse_mode,relevance
9c91bc707d1f44beb36fe0fdce43af9ce1be79ed,codex/holonomy-applications,final_assessment,reports/holonomy_applications/final_assessment.md,f7b97138a473b885ce744e8394b41ea2cfc138acafdbc51311be648f9f0e2f3d,read_only,prior application stopping decisions
9c91bc707d1f44beb36fe0fdce43af9ce1be79ed,codex/holonomy-applications,claim_matrix,reports/holonomy_applications/claim_matrix.csv,1da1690d60fd09fe80979db4eca1b514402e1945626ed5b397fd480c24256449,read_only,prior holonomy claim boundaries
9c91bc707d1f44beb36fe0fdce43af9ce1be79ed,codex/holonomy-applications,application_A_report,reports/holonomy_applications/application_A_holonomy/report.md,c56d2092a40a49680f5a5cbc6961bf038bc9e35a55e65324b1d3739a05c4cc33,read_only,D4 chart holonomy and fusion boundary
9c91bc707d1f44beb36fe0fdce43af9ce1be79ed,codex/holonomy-applications,application_B_report,reports/holonomy_applications/application_B_brauer_certificate/report.md,f7fad42453a2e41ac6ab7847bc67d0fdd6b02d709d716582fcbdf84c31bc6796,read_only,natural Brauer-like negative boundary
9c91bc707d1f44beb36fe0fdce43af9ce1be79ed,codex/holonomy-applications,application_C_report,reports/holonomy_applications/application_C_period_index_capacity/report.md,62467a4c9bdb73966c20f95faa5f726581872454102dcde0f4328a295f696dd8,read_only,controlled period-index boundary
9c91bc707d1f44beb36fe0fdce43af9ce1be79ed,codex/holonomy-applications,application_D_report,reports/holonomy_applications/application_D_mergeability_linter/report.md,88a6ac83edf1e06ca7877037ac5e46c849b16ca7d7ee97323d9145baf287228e,read_only,prior mixed-regime linter boundary
9c91bc707d1f44beb36fe0fdce43af9ce1be79ed,main,controlled_lora_report,reports/practical_twistedmerge/lora_gauge/report.md,cf5f91d25006d0ac95f7fa59646831c36f8b5a54d7d5b8125b4905fa571c2319,read_only,controlled gauge-cycle boundary
018985cc2c724762d9b7dd0aef2e701f52bcdaac,codex/lora-gauge-practical,lora_followup_plan,reports/practical_twistedmerge/lora_practical_followup/experiment_plan.md,d7ead6ec25c4186d5c2a559fa57c78e40265c25a9a9c12546977cb2b71232d95,read_only,current protected LoRA plan
018985cc2c724762d9b7dd0aef2e701f52bcdaac,codex/lora-gauge-practical,lora_followup_assessment,reports/practical_twistedmerge/lora_practical_followup/final_assessment.md,dd1f4ca44092f1c3b44ef689892c905713105766860cc5fb0fad312c8981fed7,read_only,current protected LoRA outcome
9c91bc707d1f44beb36fe0fdce43af9ce1be79ed,main,claim_ledger,reports/final_claim_ledger.md,20459251c85cbacebb8068097bb4bfcc37fcf27e3507e344c7bab3ce34658be8,read_only,global claim boundaries
9c91bc707d1f44beb36fe0fdce43af9ce1be79ed,main,primary_holonomy_source,src/primary_holonomy.py,801b2db75d85f8c0555ffd652c3cc3a935b4f477956802fa31e97923f994f913,read_only,quotient diagnostic not reused as natural topology
9c91bc707d1f44beb36fe0fdce43af9ce1be79ed,main,primary_peeling_source,src/primary_residual_peeling.py,1999cfadbcd94c80368d2bdddeb7667d46dbb60abb79e24aa0e652e5bc95a2f4,read_only,permutation peeling boundary
9c91bc707d1f44beb36fe0fdce43af9ce1be79ed,main,transition_source,src/holonomy_application_transitions.py,e0ae5b710bc386aca57bbd29e70aef26295336403a7a2f2c47c9688f55354a97,adapted,transition and loop utility precedent
9c91bc707d1f44beb36fe0fdce43af9ce1be79ed,main,synchronization_source,src/global_block_synchronization.py,8d6c249382de388864ac6ce7f853d06bff9185f12f7f691891377b243543d42e,adapted,global frame synchronization precedent
