setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,group_order,group_status,group_exactness,generator_count,group_exponent,holonomy_order,period_like_order,is_abelian,is_noncentral_holonomy,center_size,commutator_subgroup_size,abelianization_size,element_order_histogram,noncentral_holonomy_score,orbit_sizes_json,small_quotients_json
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,513,truncated_max_group_order,truncated,4,,150,150,,True,,,,{},0.9900629320275555,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4200,fashion_mnist,mlp,3,64,none,monomial_activation,4200,513,truncated_max_group_order,truncated,4,,90,90,,True,,,,{},0.982264602843857,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4201,513,truncated_max_group_order,truncated,4,,156,156,,True,,,,{},0.9757809372497497,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4201,fashion_mnist,mlp,3,64,none,monomial_activation,4201,513,truncated_max_group_order,truncated,4,,1380,1380,,True,,,,{},0.9757809372497497,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4202,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4202,513,truncated_max_group_order,truncated,4,,224,224,,True,,,,{},0.9721462643938925,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,fashion_mnist,mlp,3,64,none,monomial_activation,4202,513,truncated_max_group_order,truncated,4,,1100,1100,,True,,,,{},0.9791528146183311,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4203,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4203,513,truncated_max_group_order,truncated,4,,120,120,,True,,,,{},0.9757809372497497,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,fashion_mnist,mlp,3,64,none,monomial_activation,4203,513,truncated_max_group_order,truncated,4,,228,228,,True,,,,{},0.9791528146183311,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4204,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4204,513,truncated_max_group_order,truncated,4,,1254,1254,,True,,,,{},0.9682458365518543,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,fashion_mnist,mlp,3,64,none,monomial_activation,4204,513,truncated_max_group_order,truncated,4,,3276,3276,,True,,,,{},0.9757809372497497,[],"[{""quotient_name"": ""not_computed_large_or_truncated"", ""quotient_order"": null, ""status"": ""skipped""}]"
