"claim_id","evidence_regime","status","safe_wording","key_evidence","main_paper_eligible","prohibited_wording"
"shared_corpus_quality","natural_measured","supported","Forty independently optimized D4 chart adapters over one frozen pretrained encoder passed the frozen validation-quality and integrity gates.","shared_corpus_report.md; shared_corpus_manifest.csv","methods_or_appendix","full-network or state-of-the-art vision result"
"stable_natural_nonidentity_holonomy","natural_measured","negative","The held-out-selected weight connection is near a trivial coboundary; activation-derived nonidentity loops are less stable and fit overlaps worse.","application_A_holonomy/transitions.csv; application_A_holonomy/holonomy_loops.csv","negative_appendix","natural nonabelian obstruction certified"
"natural_noncommuting_holonomy_predicts_harm","natural_measured","not_supported","Five seeds do not support a held-out claim that noncommuting holonomy predicts harmful fusion beyond pairwise diagnostics.","application_A_holonomy/claims.csv","negative_appendix","holonomy predicts failure"
"invariant_pooling_practical_benefit","natural_measured","negative","Orbit invariant pooling does not beat generic MoE, D4 TTA, random branches, or a generic concatenation head on the preregistered primary accuracy gate.","application_A_holonomy/paired_statistics.csv","negative_appendix","invariant pooling improves robustness"
"global_sync_vs_raw_average","natural_measured","supported_narrow_descriptive","The trained global synchronization head improves over raw parameter averaging by 0.0346 accuracy with a seed-bootstrap interval of [0.0292, 0.0400].","application_A_holonomy/paired_statistics.csv","appendix_only","holonomy-specific gain or superiority to the ensemble"
"natural_brauer_like_candidate","natural_measured","negative","No natural central finite-order or Brauer-like candidate is certified.","application_B_brauer_certificate/candidate_classifications.csv","negative_appendix","natural Brauer class"
"natural_residual_type","natural_measured","supported_negative_taxonomy","All five selected weight connections are trivial/coboundary; all fifteen alternative seed-estimator settings are noncentral at strict, medium, and loose thresholds.","application_B_brauer_certificate/threshold_sensitivity.csv","negative_appendix","nonzero cycle defect is a projective class"
"controlled_period_index_structural_threshold","controlled_on_real_features","supported_controlled","In the planted finite-Heisenberg carrier, structural-plus-task recovery occurs exactly at capacities divisible by the controlled index.","application_C_period_index_capacity/minimum_capacity_predictions.csv","appendix_or_control","natural period-index discovery"
"controlled_minimum_capacity","controlled_on_real_features","supported_controlled","The controlled indices 2, 4, and 3 equal the minimum structurally coherent capacities in all fifteen seed-case checks.","application_C_period_index_capacity/minimum_capacity_predictions.csv","appendix_or_control","task accuracy independently reveals the index"
"period_index_beats_generic_capacity","controlled_on_real_features","negative","The predicted-index lift ties parameter-matched generic unitary capacity exactly and has no practical-superiority margin.","application_C_period_index_capacity/paired_statistics.csv","negative_appendix","period-index is a superior capacity planner"
"mixed_regime_linter_gain","diagnostic_only","descriptive_not_natural","Across mixed natural and controlled rows, the full linter improves AUROC by 0.0993 with interval [0.0364, 0.1740] and lowers Brier score.","application_D_mergeability_linter/paired_statistics.csv","diagnostic_appendix","natural adapter mergeability improvement"
"natural_mergeability_linter_gain","natural_measured_diagnostic","negative","On natural Application A rows, the full diagnostic reduces AUROC by 0.0273 with interval [-0.0429, -0.0057].","application_D_mergeability_linter/paired_statistics.csv","negative_appendix","holonomy-aware auditing improves natural merge decisions"
"broad_practical_holonomy_application","mixed","not_supported","This program supports conservative rejection and controlled validation, not a positive practical holonomy application claim.","final_assessment.md","no","practical value established broadly"
