summary_type,method,included,n_rows,reason,scope,target,predictor,claim_status,support_scope,note,selector,n_unique_seeds,mean_test_accuracy,mean_test_loss,paired_mean_accuracy_delta_vs_greedy_soup,paired_accuracy_delta_vs_greedy_soup_ci_low,paired_accuracy_delta_vs_greedy_soup_ci_high,paired_mean_accuracy_delta_vs_single_best_model,paired_accuracy_delta_vs_single_best_model_ci_low,paired_accuracy_delta_vs_single_best_model_ci_high,false_challenger_count,n_challenger_selections,false_challenger_rate,false_challenger_rate_all_rows,no_merge_selection_rate,extra_capacity_selection_rate,single_model_selection_rate,greedy_selection_rate,claim_decision,dataset,architecture,n_models,width,domain_shift,matching,selected_method,n_selected,selection_fraction,extra_capacity,no_merge
candidate_availability,weight_average,True,240.0,included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candidate_availability,git_rebasin_pairwise_ref0,True,240.0,included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candidate_availability,c2m3_synchronized,True,240.0,included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candidate_availability,greedy_soup,True,240.0,included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candidate_availability,c2m3_cluster_branch_ensemble_2,True,240.0,included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candidate_availability,twisted_rank_lift_2,True,240.0,included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candidate_availability,monomial_gauge,False,0.0,present_but_no_run_id_overlap_with_quality_gated_inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candidate_availability,single_best_model,True,240.0,included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prior_supported_diagnostic,,,,,predictor_target_stats,monomial_barrier_delta_vs_c2m3,mean_cycle_score,supported_positive_predictor_coefficient_replicated,replicated_positive_sign,audited only; not used as selector-training labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prior_supported_diagnostic,,,,,predictor_target_stats,monomial_barrier_delta_vs_c2m3,max_cycle_score,supported_positive_predictor_coefficient_replicated,replicated_positive_sign,audited only; not used as selector-training labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prior_supported_diagnostic,,,,,predictor_target_stats,monomial_barrier_delta_vs_c2m3,combined_obstruction_score,supported_positive_predictor_coefficient_replicated,replicated_positive_sign,audited only; not used as selector-training labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prior_supported_diagnostic,,,,,predictor_target_stats,rank_lift_delta_vs_c2m3,combined_obstruction_score,supported_positive_predictor_coefficient_replicated,replicated_positive_sign,audited only; not used as selector-training labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prior_supported_diagnostic,,,,,predictor_target_stats,c2m3_barrier_delta_vs_git_rebasin,pairwise_alignment_residual_mean,supported_positive_predictor_coefficient_replicated,replicated_positive_sign,audited only; not used as selector-training labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prior_supported_diagnostic,,,,,predictor_target_stats,rank_lift_delta_vs_c2m3,activation_assignment_similarity_mean,supported_positive_predictor_coefficient_replicated,replicated_positive_sign,audited only; not used as selector-training labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selector_overall,,,240.0,,overall,,,,,,best_validation_selector,60.0,0.8795191666666667,0.3654706686084469,2.4999999999997245e-06,-6.4166666666667e-05,8.083333333333415e-05,-5.416666666666718e-05,-0.00011083333333333408,-1.250000000000001e-05,5.0,9.0,0.5555555555555556,0.020833333333333332,0.016666666666666666,0.020833333333333332,0.9791666666666666,0.9625,descriptive_positive_mean_ci_crosses_zero,,,,,,,,,,,
selector_overall,,,240.0,,overall,,,,,,conservative_lcb_selector,60.0,0.8795166666666667,0.36534088672230636,0.0,0.0,0.0,-5.66666666666669e-05,-0.00012583333333333335,-6.645833333332916e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,,,,,,,,,,,
selector_overall,,,240.0,,overall,,,,,,greedy_baseline_selector,60.0,0.8795166666666667,0.36534088672230636,0.0,0.0,0.0,-5.66666666666669e-05,-0.0001233333333333341,-5.8333333333331535e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,,,,,,,,,,,
selector_overall,,,240.0,,overall,,,,,,logistic_or_tree_selector,60.0,0.8795166666666667,0.36534088672230636,0.0,0.0,0.0,-5.66666666666669e-05,-0.00012583333333333427,-5.8333333333331535e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,,,,,,,,,,,
selector_overall,,,240.0,,overall,,,,,,obstruction_rule_selector,60.0,0.8795125000000001,0.3653758149722218,-4.16666666666667e-06,-1.250000000000001e-05,0.0,-6.083333333333357e-05,-0.00013335416666666766,-6.666666666666395e-06,1.0,1.0,1.0,0.004166666666666667,0.0,0.004166666666666667,0.9958333333333333,0.9958333333333333,negative_does_not_beat_greedy,,,,,,,,,,,
selector_fixed_setting,,,30.0,,fashion_mnist_mlp2_N3_W128_input_noise_activation,,,,,,best_validation_selector,30.0,0.8275333333333331,0.4923932213894526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,fashion_mnist,mlp2,3.0,128.0,input_noise,activation,,,,,
selector_fixed_setting,,,30.0,,fashion_mnist_mlp2_N3_W128_input_noise_activation,,,,,,conservative_lcb_selector,30.0,0.8275333333333331,0.4923932213894526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,fashion_mnist,mlp2,3.0,128.0,input_noise,activation,,,,,
selector_fixed_setting,,,30.0,,fashion_mnist_mlp2_N3_W128_input_noise_activation,,,,,,greedy_baseline_selector,30.0,0.8275333333333331,0.4923932213894526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,fashion_mnist,mlp2,3.0,128.0,input_noise,activation,,,,,
selector_fixed_setting,,,30.0,,fashion_mnist_mlp2_N3_W128_input_noise_activation,,,,,,logistic_or_tree_selector,30.0,0.8275333333333331,0.4923932213894526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,fashion_mnist,mlp2,3.0,128.0,input_noise,activation,,,,,
selector_fixed_setting,,,30.0,,fashion_mnist_mlp2_N3_W128_input_noise_activation,,,,,,obstruction_rule_selector,30.0,0.8275333333333331,0.4923932213894526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,fashion_mnist,mlp2,3.0,128.0,input_noise,activation,,,,,
selector_fixed_setting,,,30.0,,fashion_mnist_mlp2_N3_W128_none_activation,,,,,,best_validation_selector,30.0,0.8322599999999999,0.48023881832440696,0.00017333333333333274,-0.00010000000000000009,0.0006199999999999984,-0.00011333333333333566,-0.00034000000000000696,0.0,1.0,2.0,0.5,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.9666666666666667,0.9333333333333333,descriptive_positive_mean_ci_crosses_zero,fashion_mnist,mlp2,3.0,128.0,none,activation,,,,,
selector_fixed_setting,,,30.0,,fashion_mnist_mlp2_N3_W128_none_activation,,,,,,conservative_lcb_selector,30.0,0.8320866666666668,0.4801670089149475,0.0,0.0,0.0,-0.0002866666666666684,-0.0007800000000000029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,fashion_mnist,mlp2,3.0,128.0,none,activation,,,,,
selector_fixed_setting,,,30.0,,fashion_mnist_mlp2_N3_W128_none_activation,,,,,,greedy_baseline_selector,30.0,0.8320866666666668,0.4801670089149475,0.0,0.0,0.0,-0.0002866666666666684,-0.0007800000000000029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,fashion_mnist,mlp2,3.0,128.0,none,activation,,,,,
selector_fixed_setting,,,30.0,,fashion_mnist_mlp2_N3_W128_none_activation,,,,,,logistic_or_tree_selector,30.0,0.8320866666666668,0.4801670089149475,0.0,0.0,0.0,-0.0002866666666666684,-0.0007800000000000029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,fashion_mnist,mlp2,3.0,128.0,none,activation,,,,,
selector_fixed_setting,,,30.0,,fashion_mnist_mlp2_N3_W128_none_activation,,,,,,obstruction_rule_selector,30.0,0.8320533333333332,0.480446434914271,-3.333333333333336e-05,-0.00010000000000000009,0.0,-0.00032000000000000176,-0.0008466666666666696,0.0,1.0,1.0,1.0,0.03333333333333333,0.0,0.03333333333333333,0.9666666666666667,0.9666666666666667,negative_does_not_beat_greedy,fashion_mnist,mlp2,3.0,128.0,none,activation,,,,,
selector_fixed_setting,,,30.0,,fashion_mnist_mlp2_N4_W128_input_noise_activation,,,,,,best_validation_selector,30.0,0.82654,0.4940126654942831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,fashion_mnist,mlp2,4.0,128.0,input_noise,activation,,,,,
selector_fixed_setting,,,30.0,,fashion_mnist_mlp2_N4_W128_input_noise_activation,,,,,,conservative_lcb_selector,30.0,0.82654,0.4940126654942831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,fashion_mnist,mlp2,4.0,128.0,input_noise,activation,,,,,
selector_fixed_setting,,,30.0,,fashion_mnist_mlp2_N4_W128_input_noise_activation,,,,,,greedy_baseline_selector,30.0,0.82654,0.4940126654942831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,fashion_mnist,mlp2,4.0,128.0,input_noise,activation,,,,,
selector_fixed_setting,,,30.0,,fashion_mnist_mlp2_N4_W128_input_noise_activation,,,,,,logistic_or_tree_selector,30.0,0.82654,0.4940126654942831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,fashion_mnist,mlp2,4.0,128.0,input_noise,activation,,,,,
selector_fixed_setting,,,30.0,,fashion_mnist_mlp2_N4_W128_input_noise_activation,,,,,,obstruction_rule_selector,30.0,0.82654,0.4940126654942831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,fashion_mnist,mlp2,4.0,128.0,input_noise,activation,,,,,
selector_fixed_setting,,,30.0,,fashion_mnist_mlp2_N4_W128_none_activation,,,,,,best_validation_selector,30.0,0.8334133333333333,0.47771017681598665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,fashion_mnist,mlp2,4.0,128.0,none,activation,,,,,
selector_fixed_setting,,,30.0,,fashion_mnist_mlp2_N4_W128_none_activation,,,,,,conservative_lcb_selector,30.0,0.8334133333333333,0.47771017681598665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,fashion_mnist,mlp2,4.0,128.0,none,activation,,,,,
selector_fixed_setting,,,30.0,,fashion_mnist_mlp2_N4_W128_none_activation,,,,,,greedy_baseline_selector,30.0,0.8334133333333333,0.47771017681598665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,negative_does_not_beat_greedy,fashion_mnist,mlp2,4.0,128.0,none,activation,,,,,
