setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,method,test_accuracy,test_loss,val_accuracy,val_loss,uses_validation_data,is_single_model,capacity_matched_to_weight_average,capacity_matched_to_rank_lift,branch_count,parameter_multiplier,inference_multiplier,candidate_method,selector_method,selected_candidate_method,selected_lift,selector_no_test_leakage,selector_epsilon,selector_loss_slack,best_fallback_val_accuracy,best_fallback_val_loss,best_fallback_test_accuracy,best_fallback_test_loss,selected_nonabelian_lift,implemented_nonabelian_lift_count
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,greedy_soup,0.8215,0.5273193492889404,0.84,0.47955029296875,True,True,True,False,1,1.0,1.0,best_fallback,nonabelian_holonomy_safe_selector,best_fallback,False,True,0.0,0.0,0.84,0.47955029296875,0.8215,0.5273193492889404,False,0
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4201,greedy_soup,0.8125,0.5276349887847901,0.8455,0.4797275581359863,True,True,True,False,1,1.0,1.0,best_fallback,nonabelian_holonomy_safe_selector,best_fallback,False,True,0.0,0.0,0.8455,0.4797275581359863,0.8125,0.5276349887847901,False,0
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4202,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4202,greedy_soup,0.8125,0.5363254203796387,0.8405,0.4888443069458008,True,True,True,False,1,1.0,1.0,best_fallback,nonabelian_holonomy_safe_selector,best_fallback,False,True,0.0,0.0,0.8405,0.4888443069458008,0.8125,0.5363254203796387,False,0
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4203,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4203,greedy_soup,0.8175,0.525330509185791,0.844,0.4727055320739746,True,True,True,False,1,1.0,1.0,best_fallback,nonabelian_holonomy_safe_selector,best_fallback,False,True,0.0,0.0,0.844,0.4727055320739746,0.8175,0.525330509185791,False,0
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4204,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4204,greedy_soup,0.8145,0.5242247257232666,0.8445,0.4792145156860352,True,True,True,False,1,1.0,1.0,best_fallback,nonabelian_holonomy_safe_selector,best_fallback,False,True,0.0,0.0,0.8445,0.4792145156860352,0.8145,0.5242247257232666,False,0
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4205,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4205,greedy_soup,0.8115,0.530704496383667,0.844,0.4795514850616455,True,True,True,False,1,1.0,1.0,best_fallback,nonabelian_holonomy_safe_selector,best_fallback,False,True,0.0,0.0,0.844,0.4795514850616455,0.8115,0.530704496383667,False,0
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4206,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4206,greedy_soup,0.82,0.5279941120147705,0.8435,0.4823680934906006,True,True,True,False,1,1.0,1.0,best_fallback,nonabelian_holonomy_safe_selector,best_fallback,False,True,0.0,0.0,0.8435,0.4823680934906006,0.82,0.5279941120147705,False,0
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4207,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4207,greedy_soup,0.8095,0.5386675224304199,0.8385,0.4914516620635986,True,True,True,False,1,1.0,1.0,best_fallback,nonabelian_holonomy_safe_selector,best_fallback,False,True,0.0,0.0,0.8385,0.4914516620635986,0.8095,0.5386675224304199,False,0
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4208,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4208,greedy_soup,0.813,0.5344125709533691,0.843,0.4870808525085449,True,True,True,False,1,1.0,1.0,best_fallback,nonabelian_holonomy_safe_selector,best_fallback,False,True,0.0,0.0,0.843,0.4870808525085449,0.813,0.5344125709533691,False,0
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4209,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4209,greedy_soup,0.817,0.5258516979217529,0.847,0.476715684890747,True,True,True,False,1,1.0,1.0,best_fallback,nonabelian_holonomy_safe_selector,best_fallback,False,True,0.0,0.0,0.847,0.476715684890747,0.817,0.5258516979217529,False,0
