setting_id,group,seed,test_family,word_length,method,implementation,accuracy,loss,ece,zero_shot_action_accuracy,multiplication_error,training_examples,generator_supervision,multiplication_table_supervision,trainable_parameters,label_permutation_hash_passed,execution_commit,source_sha256
S3_s0,S3,0,word_length_only,4,exact_structured_retransport,exact_symbolic_group_reduction,1.0,0.9067818828652232,0.5800457058141429,1.0,0.0,1600,True,True,0,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,4881e4eadf6d3db34bea0d4382789721f2653d0d724ad5370cf9e164a234fa28
S3_s0,S3,0,word_length_only,5,exact_structured_retransport,exact_symbolic_group_reduction,1.0,0.9200198148790856,0.5850775174771704,1.0,0.0,1600,True,True,0,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,4881e4eadf6d3db34bea0d4382789721f2653d0d724ad5370cf9e164a234fa28
S3_s0,S3,0,word_length_only,6,exact_structured_retransport,exact_symbolic_group_reduction,1.0,0.8969938424573131,0.574513616599442,1.0,0.0,1600,True,True,0,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,4881e4eadf6d3db34bea0d4382789721f2653d0d724ad5370cf9e164a234fa28
S3_s0,S3,0,word_length_only,7,exact_structured_retransport,exact_symbolic_group_reduction,1.0,0.890625695591513,0.5708860307582364,1.0,0.0,1600,True,True,0,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,4881e4eadf6d3db34bea0d4382789721f2653d0d724ad5370cf9e164a234fa28
S3_s0,S3,0,word_length_only,8,exact_structured_retransport,exact_symbolic_group_reduction,1.0,0.9113503333162525,0.579497784211697,1.0,0.0,1600,True,True,0,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,4881e4eadf6d3db34bea0d4382789721f2653d0d724ad5370cf9e164a234fa28
S3_s0,S3,0,word_length_only,9,exact_structured_retransport,exact_symbolic_group_reduction,1.0,0.8951871794697204,0.5736495360399326,1.0,0.0,1600,True,True,0,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,4881e4eadf6d3db34bea0d4382789721f2653d0d724ad5370cf9e164a234fa28
S3_s0,S3,0,word_length_only,10,exact_structured_retransport,exact_symbolic_group_reduction,1.0,0.8992799639428074,0.5747058265000762,1.0,0.0,1600,True,True,0,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,4881e4eadf6d3db34bea0d4382789721f2653d0d724ad5370cf9e164a234fa28
S3_s0,S3,0,word_length_only,4,generic_moe,ridge_word_encoder_proxy_not_moe,0.08365019011406843,2.3348840303471405,0.33630410407178873,0.08365019011406843,0.9163498098859315,1600,False,False,846,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,4881e4eadf6d3db34bea0d4382789721f2653d0d724ad5370cf9e164a234fa28
S3_s0,S3,0,word_length_only,5,generic_moe,ridge_word_encoder_proxy_not_moe,0.2485981308411215,2.05631605556525,0.17562324775261234,0.2485981308411215,0.7514018691588785,1600,False,False,846,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,4881e4eadf6d3db34bea0d4382789721f2653d0d724ad5370cf9e164a234fa28
S3_s0,S3,0,word_length_only,6,generic_moe,ridge_word_encoder_proxy_not_moe,0.11507936507936507,2.2681891583952,0.3104070183211928,0.11507936507936507,0.8849206349206349,1600,False,False,846,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,4881e4eadf6d3db34bea0d4382789721f2653d0d724ad5370cf9e164a234fa28
