setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,max_train_samples,max_test_samples,dataset_seed,val_fraction,n_validation_examples,n_test_examples,checkpoint_source,method,candidate_set,n_candidates,selected_candidate_indices_json,selected_candidate_labels_json,selected_candidate_families_json,selected_candidate_count,selected_extra_capacity_count,selected_nonlocal_candidate_count,final_selected_candidate_label,final_selected_candidate_family,final_selected_candidate_type,val_accuracy,val_loss,test_accuracy,test_loss,test_used_for_selection,is_single_model,is_ensemble_or_extra_capacity,capacity_matched_to_weight_average,parameter_multiplier,inference_multiplier,delta_test_accuracy_vs_ordinary_greedy,delta_val_accuracy_vs_ordinary_greedy,ordinary_greedy_test_accuracy,ordinary_greedy_val_accuracy
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3000,fashion_mnist,mlp2,3,128,input_noise,activation,3000,10000,5000,314159,0.2,2000,5000,<repository-root>/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation,ordinary_greedy_soup,ordinary_local_only,3,[0],"[""local:0""]","[""local""]",1,0,0,local:0,local,local_individual_checkpoint,0.855,0.4338729362487793,0.8278,0.49133039364814757,False,True,False,True,1.0,1.0,0.0,0.0,0.8278,0.855
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3000,fashion_mnist,mlp2,3,128,input_noise,activation,3000,10000,5000,314159,0.2,2000,5000,<repository-root>/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation,expanded_candidate_soup,expanded_gauge_candidates,23,[7],"[""c2m3_synchronized:section:0""]","[""c2m3_synchronized""]",1,0,1,c2m3_synchronized:section:0,c2m3_synchronized,gauge_corrected_local_section,0.855,0.43387292861938476,0.8278,0.49133039064407347,False,True,False,True,1.0,1.0,0.0,0.0,0.8278,0.855
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3001,fashion_mnist,mlp2,3,128,input_noise,activation,3001,10000,5000,314159,0.2,2000,5000,<repository-root>/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation,ordinary_greedy_soup,ordinary_local_only,3,[0],"[""local:0""]","[""local""]",1,0,0,local:0,local,local_individual_checkpoint,0.855,0.43454388236999514,0.827,0.4958956871986389,False,True,False,True,1.0,1.0,0.0,0.0,0.827,0.855
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3001,fashion_mnist,mlp2,3,128,input_noise,activation,3001,10000,5000,314159,0.2,2000,5000,<repository-root>/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation,expanded_candidate_soup,expanded_gauge_candidates,23,[7],"[""c2m3_synchronized:section:0""]","[""c2m3_synchronized""]",1,0,1,c2m3_synchronized:section:0,c2m3_synchronized,gauge_corrected_local_section,0.855,0.43454390144348143,0.827,0.4958956841945648,False,True,False,True,1.0,1.0,0.0,0.0,0.827,0.855
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3002,fashion_mnist,mlp2,3,128,input_noise,activation,3002,10000,5000,314159,0.2,2000,5000,<repository-root>/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation,ordinary_greedy_soup,ordinary_local_only,3,[0],"[""local:0""]","[""local""]",1,0,0,local:0,local,local_individual_checkpoint,0.8575,0.43167901039123535,0.8278,0.4899493537902832,False,True,False,True,1.0,1.0,0.0,0.0,0.8278,0.8575
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3002,fashion_mnist,mlp2,3,128,input_noise,activation,3002,10000,5000,314159,0.2,2000,5000,<repository-root>/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation,expanded_candidate_soup,expanded_gauge_candidates,23,"[7,0]","[""c2m3_synchronized:section:0"",""local:0""]","[""c2m3_synchronized"",""local""]",2,0,1,local:0,local,local_individual_checkpoint,0.8575,0.43167901039123535,0.8278,0.4899493537902832,False,True,False,True,1.0,1.0,0.0,0.0,0.8278,0.8575
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3003,fashion_mnist,mlp2,3,128,input_noise,activation,3003,10000,5000,314159,0.2,2000,5000,<repository-root>/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation,ordinary_greedy_soup,ordinary_local_only,3,[0],"[""local:0""]","[""local""]",1,0,0,local:0,local,local_individual_checkpoint,0.856,0.43058344841003415,0.8294,0.48773485107421877,False,True,False,True,1.0,1.0,0.0,0.0,0.8294,0.856
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3003,fashion_mnist,mlp2,3,128,input_noise,activation,3003,10000,5000,314159,0.2,2000,5000,<repository-root>/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation,expanded_candidate_soup,expanded_gauge_candidates,23,[7],"[""c2m3_synchronized:section:0""]","[""c2m3_synchronized""]",1,0,1,c2m3_synchronized:section:0,c2m3_synchronized,gauge_corrected_local_section,0.856,0.43058345222473143,0.8294,0.4877348479270935,False,True,False,True,1.0,1.0,0.0,0.0,0.8294,0.856
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3004,fashion_mnist,mlp2,3,128,input_noise,activation,3004,10000,5000,314159,0.2,2000,5000,<repository-root>/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation,ordinary_greedy_soup,ordinary_local_only,3,[0],"[""local:0""]","[""local""]",1,0,0,local:0,local,local_individual_checkpoint,0.857,0.43459917831420897,0.8274,0.48889442167282104,False,True,False,True,1.0,1.0,0.0,0.0,0.8274,0.857
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3004,fashion_mnist,mlp2,3,128,input_noise,activation,3004,10000,5000,314159,0.2,2000,5000,<repository-root>/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation,expanded_candidate_soup,expanded_gauge_candidates,23,"[7,0]","[""c2m3_synchronized:section:0"",""local:0""]","[""c2m3_synchronized"",""local""]",2,0,1,local:0,local,local_individual_checkpoint,0.857,0.43459917831420897,0.8274,0.48889442167282104,False,True,False,True,1.0,1.0,0.0,0.0,0.8274,0.857
