stage,artifact,artifact_type,script,configuration,raw_data,summary_data,execution_commit,sha256
B1,reports/next_program/iclr/plots/full_model_residuals.pdf,pdf,experiments/full_model_hidden_geometry.py,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/experiments/full_model_hidden_geometry.py,reports/next_program/iclr/full_model_runs.csv;reports/next_program/iclr/full_model_transitions.csv,reports/next_program/iclr/full_model_claims.csv,1237f70e2276c249ee5cbc1eedb977fc1043db26,9645548bfeee3ca269faa437f65a52f087b47c92fed7a14e4acc4e5319e5ae81
B6,reports/next_program/iclr/tables/central_extensions.tex,tex,experiments/noncyclic_central_extensions.py,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/experiments/noncyclic_central_extensions.py,,reports/next_program/iclr/central_claims.csv,74b1d5e9779324615eaf21fe53e7a8f8639190d2,9c461915045735413a0e50cd5bcbb68598f5625d9dbd7887bc2bdf810161e899
B2,reports/next_program/iclr/tables/composition.tex,tex,experiments/learned_compositional_baselines.py,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/experiments/learned_compositional_baselines.py,reports/next_program/iclr/composition_runs.csv,reports/next_program/iclr/composition_summary.csv;reports/next_program/iclr/composition_claims.csv,1237f70e2276c249ee5cbc1eedb977fc1043db26,0597f5f9c3bd1d7ca83504c6f8eab9b4daf3019453b4f64447386e1fe791149b
B5,reports/next_program/iclr/tables/compression.tex,tex,experiments/structured_compression.py,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/experiments/structured_compression.py,reports/next_program/iclr/compression_runs.csv,reports/next_program/iclr/compression_summary.csv;reports/next_program/iclr/compression_claims.csv,efb0342fed58bdb90ac97a9e546a84560959804d,49165a4a3c164f7b8b00e3447e5c3ecf2db2e60ed43f83e32b94eba9a4555717
B1,reports/next_program/iclr/tables/full_model.tex,tex,experiments/full_model_hidden_geometry.py,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/experiments/full_model_hidden_geometry.py,reports/next_program/iclr/full_model_runs.csv;reports/next_program/iclr/full_model_transitions.csv,reports/next_program/iclr/full_model_claims.csv,1237f70e2276c249ee5cbc1eedb977fc1043db26,ddf2ab32cacadb63079a7a9fb252da7de65755b92582c83a4267f856a8b3fced
B3,reports/next_program/iclr/tables/multiview.tex,tex,experiments/genuine_multiview_retransport.py,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/experiments/genuine_multiview_retransport.py,reports/next_program/iclr/multiview_runs.csv;reports/next_program/iclr/multiview_transitions.csv,reports/next_program/iclr/multiview_claims.csv,74b1d5e9779324615eaf21fe53e7a8f8639190d2,d002b5558dae56532d75dcfc88f2e926f3eddbeaccf7ce708ddb7034c5234e68
A1,reports/next_program/immediate/plots/chart_coverage.pdf,pdf,experiments/trained_chart_inference.py,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/experiments/trained_chart_inference.py,reports/next_program/immediate/chart_runs.csv,reports/next_program/immediate/chart_summary.csv;reports/next_program/immediate/chart_claims.csv,1237f70e2276c249ee5cbc1eedb977fc1043db26,6a9197ad37f5a3483209e37ff34d3611b080ee6d19aaacf4e28168017ed08bff
A2,reports/next_program/immediate/plots/cost_accuracy.pdf,pdf,experiments/end_to_end_controlled_cost.py,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/experiments/end_to_end_controlled_cost.py,reports/next_program/immediate/cost_accuracy_runs.csv;reports/next_program/immediate/cost_runs.csv,reports/next_program/immediate/cost_summary.csv;reports/next_program/immediate/cost_claims.csv,1237f70e2276c249ee5cbc1eedb977fc1043db26,f4d4a2151e1e0c670b77ab6e055264fb870d6590f560af0e2f183cae191143ea
A1,reports/next_program/immediate/tables/chart_main.tex,tex,experiments/trained_chart_inference.py,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/experiments/trained_chart_inference.py,reports/next_program/immediate/chart_runs.csv,reports/next_program/immediate/chart_summary.csv;reports/next_program/immediate/chart_claims.csv,1237f70e2276c249ee5cbc1eedb977fc1043db26,d65495a5bef636e0eafdfb13cce0359844fd262bbe0924714b313267bd0d4677
A2,reports/next_program/immediate/tables/cost.tex,tex,experiments/end_to_end_controlled_cost.py,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/experiments/end_to_end_controlled_cost.py,reports/next_program/immediate/cost_accuracy_runs.csv;reports/next_program/immediate/cost_runs.csv,reports/next_program/immediate/cost_summary.csv;reports/next_program/immediate/cost_claims.csv,1237f70e2276c249ee5cbc1eedb977fc1043db26,2c8a583f296b27d14ed9d6aa32b18bcbfed39e674cc10cf43e302f5194c4ccbb
A3,reports/next_program/immediate/tables/refinement.tex,tex,experiments/nontrivial_refinement_invariance.py,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/experiments/nontrivial_refinement_invariance.py,reports/next_program/immediate/refinement_runs.csv,reports/next_program/immediate/refinement_summary.csv;reports/next_program/immediate/refinement_claims.csv,1237f70e2276c249ee5cbc1eedb977fc1043db26,d3b156d5b683e5843c604cc0ead8c7c614b4254b18cceb20a6eaeea598430542
